"longitude" "latitude" "obs" "CMAQ"
-75.60431 39.93567 80 73.8639
-75.76861 39.83444 74.375 81.0204
-78.52619 41.1175 67.5 52.5425
-76.84472 40.245 81.5 72.7149
-76.68139 40.27222 92.875 77.1513
-75.3725 39.83556 67.25 77.7491
-80.03861 42.14175 84.25 57.9979
-77.47556 39.96111 89.125 66.3273
-80.28492 39.81622 92.75 65.5708
-75.57819 41.47911 69.25 52.3562
-75.62305 41.44278 70.125 54.9303
-76.28333 40.04667 86.375 74.4012
-80.34666 40.99583 82.375 75.2149
-75.4325 40.61194 79 66.2583
-76.00333 41.20917 68.625 63.1093
-75.84639 41.26556 71.5 62.1518
-76.98972 41.24611 56.375 60.1604
-77.44908 41.33406 66.375 57.1667
-80.485 41.215 90.125 78.0425
-75.30917 40.11222 78.875 74.9742
-75.34111 40.62806 81.625 69.9731
-75.23716 40.69222 73.5 65.4877
-77.16556 40.45694 72.75 68.229
-75.09778 40.00889 51.25 66.3224
-75.24055 40.05 70.75 72.5084
-75.01195 40.07639 77.714 69.0014
-75.22278 39.9275 59.375 74.6111
-76.93916 41.64472 71.5 55.6934
-79.90222 40.14667 80.75 65.6034
-80.26139 40.17056 84.625 68.1702
-80.42083 40.44528 83.75 68.3942
-79.69305 40.42805 72.5 62.4268
-79.50567 40.3047 66.875 55.2896
-76.69945 39.96528 81 76.1757
-71.71972 41.615 57.375 72.8854
-71.36166 41.84028 67.75 53.1296
-71.42778 41.49167 83 109.693
-82.38638 34.32703 48.375 47.6225
-81.78873 33.34384 57 53.3585
-81.34259 33.64772 59 52.5426
-82.49039 34.77693 55.375 52.8572
-81.46554 33.32208 52.75 53.0421
-79.9367 32.98902 48.875 57.6159
-79.9655 32.91172 41.857 52.6326
-79.65717 32.94275 42.75 54.4706
-81.81657 35.13226 54.25 45.4068
-81.20375 34.79486 54.875 47.5719
-80.96504 33.00956 58.625 60.3605
-79.74486 34.28744 64.5 56.0897
-81.85363 33.74169 66.125 52.7631
-83.2377 34.80711 50.875 51.5789
-82.83865 34.65522 51.75 53.4637
-80.9623 34.09584 55.5 54.6869
-80.78114 33.81655 55.286 58.3568
-80.876 34.13263 58.125 54.6869
-82.0758 34.99053 56.5 52.6467
-81.56036 34.54124 51.5 43.9145
-79.56506 33.72573 49.375 55.4202
-81.22833 34.93555 51.625 48.356
-96.682 43.53762 50.286 46.336
-84.22334 35.965 61.5 71.2389
-83.94361 35.63139 48.875 51.9892
-83.78361 35.60306 33.125 50.6268
-86.74472 36.205 69.25 70.0058
-86.62111 36.15055 68.75 65.3946
-89.28528 36.12361 48.125 58.3319
-83.13448 36.30778 60.5 63.8434
-85.15166 35.07639 60.375 57.0919
-85.1819 35.2335 57.875 68.3371
-89.16778 35.46806 49.125 50.7039
-83.60111 36.11444 55.875 68.4745
-83.76472 36.08472 56.875 69.2867
-83.87361 36.01944 49.429 68.7195
-87.47 35.11611 56.375 52.1482
-84.94611 35.28889 62.625 56.8207
-89.00139 36.50417 58.25 61.1194
